X1,Y1,X2,Y2,X3,Y3,X4,Y4
2.315811588,4.609653443,2.315811588,1576.680807,2.315811588,1.465268013,1.521779086,6.301383991
3.9628,17.65025974,3.9628,1569.990054,3.9628,2.049688079,1.990678276,6.294688237
4.449522555,16.51869978,4.449522555,1423.157389,4.449522555,2.016015956,2.109389143,6.14204838
5.085439794,8.22255625,5.085439794,1681,5.085439794,1.693369422,2.25509197,6.403124237
8.406451115,36,8.406451115,1341.428659,8.406451115,2.449489743,2.899388059,6.051902117
11.45024938,92.15232016,11.45024938,1262.386694,11.45024938,3.098322127,3.383821713,5.960711496
11.86753519,109.6615053,11.86753519,983.0719657,11.86753519,3.236037538,3.444928909,5.599462337
14.1020769,248.629824,14.1020769,1098.608959,14.1020769,3.970894106,3.755273212,5.757192939
15.31598022,178.900612,15.31598022,1054.381154,15.31598022,3.657235751,3.913563622,5.698353779
15.9992567,218.7848666,15.9992567,1048.032686,15.9992567,3.845956073,3.999907087,5.689756845
16.36628298,225.1444015,16.36628298,983.3766873,16.36628298,3.873604602,4.045526292,5.599896201
15.6973,120.0570767,15.6973,961,15.6973,3.310144412,3.961981827,5.567764363
16.70212722,263.6193793,16.70212722,896.830472,16.70212722,4.029436659,4.08682361,5.47239691
17.36602562,307.8131672,17.36602562,643.4916612,17.36602562,4.188628066,4.167256366,5.036579933
18.52358247,329.7055046,18.52358247,755.2163927,18.52358247,4.261196381,4.303903167,5.242251493
19.16842836,380.1477004,19.16842836,470.0544981,19.16842836,4.415583399,4.378176374,4.656258182
21.56770087,411.2893814,21.56770087,537.9121729,21.56770087,4.50336216,4.644103882,4.815904244
21.80499358,423.696338,21.80499358,447.2610698,21.80499358,4.536946704,4.669581735,4.598755016
22.89897233,508.4355971,22.89897233,505.9872939,22.89897233,4.748527826,4.785287069,4.742801
23.07092868,461.5407624,23.07092868,632.8499345,23.07092868,4.635029641,4.803220657,5.01562646
23.75445833,632.8499345,23.75445833,461.5407624,23.75445833,5.01562646,4.873854565,4.635029641
24.1852355,505.9872939,24.1852355,508.4355971,24.1852355,4.742801,4.917848666,4.748527826
24.46381365,447.2610698,24.46381365,423.696338,24.46381365,4.598755016,4.946090744,4.536946704
24.98092692,537.9121729,24.98092692,411.2893814,24.98092692,4.815904244,4.998092328,4.50336216
25.75289334,470.0544981,25.75289334,380.1477004,25.75289334,4.656258182,5.074730864,4.415583399
27.38511787,755.2163927,27.38511787,329.7055046,27.38511787,5.242251493,5.233079196,4.261196381
28.67453205,643.4916612,28.67453205,307.8131672,28.67453205,5.036579933,5.3548606,4.188628066
30.57660011,896.830472,30.57660011,263.6193793,30.57660011,5.47239691,5.529611208,4.029436659
30.77444793,961,30.77444793,120.0570767,30.77444793,5.567764363,5.547472211,3.310144412
30.77451978,983.3766873,30.77451978,225.1444015,30.77451978,5.599896201,5.547478687,3.873604602
32.1591561,1048.032686,32.1591561,218.7848666,32.1591561,5.689756845,5.670904346,3.845956073
32.88198936,1054.381154,32.88198936,178.900612,32.88198936,5.698353779,5.734281939,3.657235751
33.02742226,1098.608959,33.02742226,248.629824,33.02742226,5.757192939,5.746948952,3.970894106
34.19869277,983.0719657,34.19869277,109.6615053,34.19869277,5.599462337,5.84796484,3.236037538
34.91568383,1262.386694,34.91568383,92.15232016,34.91568383,5.960711496,5.90894947,3.098322127
36.62868426,1341.428659,36.62868426,36,36.62868426,6.051902117,6.052163601,2.449489743
37.42775199,1681,37.42775199,8.22255625,37.42775199,6.403124237,6.117822488,1.693369422
39.18946487,1423.157389,39.18946487,16.51869978,39.18946487,6.14204838,6.26014895,2.016015956
39.86887796,1569.990054,39.86887796,17.65025974,39.86887796,6.294688237,6.314180704,2.049688079
39.93942957,1576.680807,39.93942957,4.609653443,39.93942957,6.301383991,6.319764994,1.465268013
